ticker,quantity,cost,account,asset_class,sector,acquired
AAPL,23,327.82,taxable,equity,technology,2024-03-12
GOOG,25,350.32,taxable,equity,communication,2024-06-18
TSLA,30,361.43,ira,equity,consumer_discretionary,2025-01-09
VOO,100,692.99,roth,etf,broad_market,2023-11-02
MSFT,18,412.55,taxable,equity,technology,2024-08-21
NVDA,12,118.40,taxable,equity,technology,2025-04-03
AMZN,15,186.77,ira,equity,consumer_discretionary,2024-10-15
JPM,20,198.64,taxable,equity,financials,2023-09-28
XOM,40,108.21,ira,equity,energy,2024-02-07
UNH,8,492.10,roth,equity,healthcare,2025-05-22
JNJ,16,155.88,taxable,equity,healthcare,2023-12-14
META,10,512.33,taxable,equity,communication,2025-07-11
BRK.B,6,448.90,ira,equity,financials,2024-01-19
VTI,45,268.15,roth,etf,broad_market,2023-08-04
QQQ,22,481.60,taxable,etf,technology,2025-02-26
KO,50,61.34,ira,equity,consumer_staples,2024-05-30
CAT,9,347.28,taxable,equity,industrials,2025-03-17
NEE,25,72.19,roth,equity,utilities,2024-09-06
GLD,14,228.47,taxable,etf,commodities,2025-06-13
BND,80,73.05,ira,etf,fixed_income,2023-10-23
